Model,Reward,Deficiency,Export
PPO,3561494.3207895975,31270183.83168296,240592045.42693835
PPO,3516478.490924379,31727027.559927903,239255254.88067225
PPO,3579778.8867132827,29855263.08144915,238677054.9859419
PPO,3554393.880187574,31710471.47378882,241117672.1343943
PPO,3524123.526288099,32502519.50935109,241188188.3264378
PPO,3552971.6718562306,31536870.620162055,240699257.4675675
PPO,3550803.3573091105,31229382.238328688,239975892.87814438
PPO,3583026.666093469,29766346.75358665,238661146.04710928
PPO,3706363.57031621,29103326.415403817,243500829.32114682
PPO,3558351.702686928,30424200.507855024,238743521.4787594
PPO,3524783.6805531955,32472955.40567489,241162547.30679193
PPO,3564837.1531513864,31024662.750265166,240268106.66748708
PPO,3479527.96097474,32411570.65476212,238776785.37227255
PPO,3628309.021711991,28885339.630492598,239163258.39665094
PPO,3553413.623170936,30564121.91444491,238776289.5073683
PPO,3449240.8895621095,31177655.70757933,234795369.69008744
PPO,3641874.122798122,29430527.693917148,240931511.85508785
PPO,3580797.242886637,29259590.654099092,237536252.4909245
PPO,3510267.12803516,32775713.514442466,241041326.49414968
PPO,3451158.34869167,31796315.73106497,236128315.84907937
PPO,3588338.612464084,31326697.234640203,242047008.8245984
PPO,3664204.218981389,28570645.988854647,240328552.01096225
PPO,3570475.9835790684,28736087.175954208,235974039.50782645
PPO,3655384.529313828,30880464.536867302,244506184.06058943
PPO,3542117.4512320007,29735774.421544336,236555109.50277516
PPO,3576963.9861469134,30523989.378976986,239873466.85265788
PPO,3495596.395443976,31975114.8314152,238707089.86675847
PPO,3603781.621554666,30273177.006136402,240712588.30306885
PPO,3651689.797895463,29368696.809525393,241298451.5209709
PPO,3527122.794266058,31288850.566497546,238910896.6097424
PPO,3563155.800196884,31015003.840264253,240164859.89058253
PPO,3484383.1562976344,30777346.69418917,235751832.6930272
PPO,3555079.5486428803,31128162.297907412,239987119.7712923
PPO,3552992.9642181825,30275815.127180267,238178911.4848567
PPO,3526979.625797194,30927434.76265042,238181264.54706693
PPO,3596536.5501693864,29285398.197907124,238375352.9346383
PPO,3430048.3386646067,33139964.83326208,237759756.16020215
PPO,3492196.7048829137,32138806.864346907,238864765.9863899
PPO,3554097.4091648366,31932495.06206582,241546706.89678037
PPO,3502593.7437769906,31553701.989592202,238214759.32108858
PPO,3582672.8826890374,30612365.213630613,240335547.28905535
PPO,3606573.6378056514,30515851.96853736,241336703.68359944
PPO,3531923.76717538,31375955.2972316,239325372.5874918
PPO,3532077.675114262,30842077.384975098,238265433.58391684
PPO,3593724.85329599,30552953.714721397,240769103.934834
PPO,3485108.9832088314,31208333.506664358,236649608.7549698
PPO,3607580.7772472445,30611753.09698942,241579239.05784494
PPO,3627591.1509078317,30727303.794805463,242810123.47123694
PPO,3558016.677479515,31617723.01329118,241112979.6712013
PPO,3571751.500858134,31317797.501394935,241199428.66498342
PPO,3695547.0340037895,28052409.250591926,240858501.36012232
Greedy,35070357623.767944,31582036.484528936,238515861.0878976
Greedy,35837666023.69275,28870709.95779423,236929750.0340522
Greedy,34529827305.334045,31123015.692094103,234895167.91085842
Greedy,34692048991.40587,32102419.969532102,237665084.89609358
Greedy,34734175114.276054,31808915.830485553,237288707.2323514
Greedy,34529773512.123566,31950162.33264322,236549192.2259043
Greedy,35163040338.09891,31600537.603759013,239016276.89801258
Greedy,35636423339.1698,32011039.670068495,242204196.03598598
Greedy,35679211294.959114,29926229.302485105,238248515.0797658
Greedy,35329878041.093796,30734948.916071862,238119288.03761274
Greedy,35594875252.09706,30460658.073709175,238895692.40790364
Greedy,36207645144.00929,30750976.0470255,242540177.81409743
Greedy,35916945196.28359,30386673.474304676,240358072.9300273
Greedy,35220441445.72055,30606442.30608307,237315091.84076887
Greedy,35249694631.5252,30992122.510148033,238232718.17792204
Greedy,35864323473.85724,29935799.29197026,239193215.95322672
Greedy,34639696829.916595,31174415.44795756,235547315.0454981
Greedy,35004585928.199814,32091595.23153802,239206120.10407507
Greedy,35784425432.041374,30558965.195669997,240040057.55154687
Greedy,34476413656.16133,30454684.28622106,233291436.85324878
Greedy,35239333648.16055,31374713.71135375,238946095.6635103
Greedy,37045844357.11749,28098223.38563142,241425668.5568503
Greedy,33798201480.461357,31382216.04110696,231755439.4845207
Greedy,35285704073.133965,29145315.700718805,234719151.76710743
Greedy,35200244546.35978,31457000.396008685,238915223.52381626
Greedy,35288849700.17725,30740217.857728258,237924684.21634278
Greedy,34465853630.966156,31936536.07598256,236202340.30679587
Greedy,36017428487.529945,31234456.06205136,242556054.56175244
Greedy,35402861772.97307,29861275.041835893,236736858.94853714
Greedy,35035874112.76265,30891873.094825584,236963116.75346443
Greedy,35580326623.204735,31306413.924844,240514460.96571168
Greedy,33595331342.84517,34591136.112156905,237158928.93853965
Greedy,34539252104.46269,30745941.113486767,234188142.74928698
Greedy,35744694142.89582,30355765.722509734,239435002.15949854
Greedy,36232249303.81663,28812411.61158764,238786069.74225843
