region,year,eurostat_crop_category,production_structure,eurostat_area_thousand_ha,region_normalised,eurostat_area_ha
Nouvelle-Aquitaine,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1232.0,nouvelle-aquitaine,1232000.0
Nouvelle-Aquitaine,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1288.26,nouvelle-aquitaine,1288260.0
Nouvelle-Aquitaine,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1173.52,nouvelle-aquitaine,1173520.0
Nouvelle-Aquitaine,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1236.46,nouvelle-aquitaine,1236460.0
Nouvelle-Aquitaine,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1187.0,nouvelle-aquitaine,1187000.0
Nouvelle-Aquitaine,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1172.0,nouvelle-aquitaine,1172000.0
Nouvelle-Aquitaine,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1093.34,nouvelle-aquitaine,1093340.0
Occitanie,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,807.04,occitanie,807040.0
Occitanie,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,797.33,occitanie,797330.0
Occitanie,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,760.63,occitanie,760630.0
Occitanie,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,746.33,occitanie,746330.0
Occitanie,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,743.68,occitanie,743680.0
Occitanie,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,690.79,occitanie,690790.0
Occitanie,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,729.02,occitanie,729020.0
Occitanie,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,681.8,occitanie,681800.0
Occitanie,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,694.05,occitanie,694050.0
Occitanie,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,654.92,occitanie,654920.0
Auvergne-Rhône-Alpes,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,547.81,auvergne-rhone-alpes,547810.0
Auvergne-Rhône-Alpes,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,553.57,auvergne-rhone-alpes,553570.0
Auvergne-Rhône-Alpes,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,527.82,auvergne-rhone-alpes,527820.0
Auvergne-Rhône-Alpes,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,510.74,auvergne-rhone-alpes,510740.0
Auvergne-Rhône-Alpes,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,509.95,auvergne-rhone-alpes,509950.0
Auvergne-Rhône-Alpes,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,513.75,auvergne-rhone-alpes,513750.0
Auvergne-Rhône-Alpes,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,524.09,auvergne-rhone-alpes,524090.00000000006
Auvergne-Rhône-Alpes,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,509.33,auvergne-rhone-alpes,509330.0
Auvergne-Rhône-Alpes,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,500.34,auvergne-rhone-alpes,500340.0
Auvergne-Rhône-Alpes,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,487.83,auvergne-rhone-alpes,487830.0
Provence-Alpes-Côte d’Azur,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,82.18,provence-alpes-cote d'azur,82180.0
Provence-Alpes-Côte d’Azur,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,82.49,provence-alpes-cote d'azur,82490.0
Provence-Alpes-Côte d’Azur,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,78.52,provence-alpes-cote d'azur,78520.0
Provence-Alpes-Côte d’Azur,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,70.37,provence-alpes-cote d'azur,70370.0
Provence-Alpes-Côte d’Azur,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,64.37,provence-alpes-cote d'azur,64370.00000000001
Provence-Alpes-Côte d’Azur,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,59.85,provence-alpes-cote d'azur,59850.0
Provence-Alpes-Côte d’Azur,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,66.97,provence-alpes-cote d'azur,66970.0
Provence-Alpes-Côte d’Azur,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,68.21,provence-alpes-cote d'azur,68210.0
Provence-Alpes-Côte d’Azur,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,65.35,provence-alpes-cote d'azur,65349.99999999999
